01:43:56 | INFO | SIGNAL | HOLD | RELIANCE.NS @ ₹1,397.60 | 
01:43:56 | INFO | PNL    | Portfolio: ₹100,000.00 | Total: +0.00 | Daily: +0.00
01:44:56 | INFO | SIGNAL | HOLD | RELIANCE.NS @ ₹1,397.60 | 
01:44:56 | INFO | PNL    | Portfolio: ₹100,000.00 | Total: +0.00 | Daily: +0.00
01:45:56 | INFO | SIGNAL | HOLD | RELIANCE.NS @ ₹1,397.60 | 
01:45:56 | INFO | PNL    | Portfolio: ₹100,000.00 | Total: +0.00 | Daily: +0.00
01:46:56 | INFO | SIGNAL | HOLD | RELIANCE.NS @ ₹1,397.60 | 
01:46:56 | INFO | PNL    | Portfolio: ₹100,000.00 | Total: +0.00 | Daily: +0.00
01:47:56 | INFO | SIGNAL | HOLD | RELIANCE.NS @ ₹1,397.60 | 
01:47:56 | INFO | PNL    | Portfolio: ₹100,000.00 | Total: +0.00 | Daily: +0.00
01:55:35 | INFO | SIGNAL | HOLD | RELIANCE.NS @ ₹1,397.60 | 
01:55:35 | INFO | PNL    | Portfolio: ₹100,000.00 | Total: +0.00 | Daily: +0.00
02:24:54 | INFO | SIGNAL | HOLD | RELIANCE.NS @ ₹1,397.60 | 
02:24:54 | INFO | PNL    | Portfolio: ₹100,000.00 | Total: +0.00 | Daily: +0.00
03:21:32 | INFO | SIGNAL | HOLD | RELIANCE.NS @ ₹1,397.60 | 
03:21:32 | INFO | PNL    | Portfolio: ₹100,000.00 | Total: +0.00 | Daily: +0.00
